2026-06-06 08:41:12,429 INFO    StreamThr :572977 [internal.py:wandb_internal():85] W&B internal server running at pid: 572977, started at: 2026-06-06 08:41:12.428677
2026-06-06 08:41:12,432 DEBUG   HandlerThread:572977 [handler.py:handle_request():158] handle_request: status
2026-06-06 08:41:12,434 INFO    WriterThread:572977 [datastore.py:open_for_write():87] open: /app/environment/wandb/offline-run-20260606_084112-3wpj27di/run-3wpj27di.wandb
2026-06-06 08:41:12,484 DEBUG   HandlerThread:572977 [handler.py:handle_request():158] handle_request: run_start
2026-06-06 08:41:12,485 DEBUG   HandlerThread:572977 [system_info.py:__init__():26] System info init
2026-06-06 08:41:12,485 DEBUG   HandlerThread:572977 [system_info.py:__init__():41] System info init done
2026-06-06 08:41:12,485 INFO    HandlerThread:572977 [system_monitor.py:start():194] Starting system monitor
2026-06-06 08:41:12,485 INFO    SystemMonitor:572977 [system_monitor.py:_start():158] Starting system asset monitoring threads
2026-06-06 08:41:12,485 INFO    HandlerThread:572977 [system_monitor.py:probe():214] Collecting system info
2026-06-06 08:41:12,486 INFO    SystemMonitor:572977 [interfaces.py:start():188] Started cpu monitoring
2026-06-06 08:41:12,488 INFO    SystemMonitor:572977 [interfaces.py:start():188] Started disk monitoring
2026-06-06 08:41:12,489 INFO    SystemMonitor:572977 [interfaces.py:start():188] Started memory monitoring
2026-06-06 08:41:12,490 INFO    SystemMonitor:572977 [interfaces.py:start():188] Started network monitoring
2026-06-06 08:41:12,496 DEBUG   HandlerThread:572977 [system_info.py:probe():150] Probing system
2026-06-06 08:41:12,497 DEBUG   HandlerThread:572977 [system_info.py:_probe_git():135] Probing git
2026-06-06 08:41:12,506 DEBUG   HandlerThread:572977 [system_info.py:_probe_git():143] Probing git done
2026-06-06 08:41:12,506 DEBUG   HandlerThread:572977 [system_info.py:probe():198] Probing system done
2026-06-06 08:41:12,506 DEBUG   HandlerThread:572977 [system_monitor.py:probe():223] {'os': 'Linux-6.8.0-x86_64-with-glibc2.39', 'python': '3.12.13', 'heartbeatAt': '2026-06-06T08:41:12.496759', 'startedAt': '2026-06-06T08:41:12.422204', 'docker': None, 'cuda': None, 'args': ('/app/environment/data/train.csv', '/app/environment/model.joblib', '/app/environment/hist.json'), 'state': 'running', 'program': '/app/environment/cli/train.py', 'codePathLocal': 'environment/cli/train.py', 'codePath': 'environment/cli/train.py', 'git': {'remote': 'https://vinayguttula:@github.com/vinayguttula/WandB-Offline-Drift-Monitoring.git', 'commit': '53e8da5feeae1d1dfd85c3c3a2b4a328440b4db4'}, 'email': '161369871+google-labs-jules[bot]@users.noreply.github.com', 'root': '/app', 'host': 'devbox', 'username': 'jules', 'executable': '/home/jules/.pyenv/versions/3.12.13/bin/python', 'cpu_count': 4, 'cpu_count_logical': 4, 'cpu_freq': {'current': 2299.998, 'min': 0.0, 'max': 0.0}, 'cpu_freq_per_core': [{'current': 2299.998, 'min': 0.0, 'max': 0.0}, {'current': 2299.998, 'min': 0.0, 'max': 0.0}, {'current': 2299.998, 'min': 0.0, 'max': 0.0}, {'current': 2299.998, 'min': 0.0, 'max': 0.0}], 'disk': {'/': {'total': 97.87200164794922, 'used': 0.6971778869628906}}, 'memory': {'total': 7.772556304931641}}
2026-06-06 08:41:12,506 INFO    HandlerThread:572977 [system_monitor.py:probe():224] Finished collecting system info
2026-06-06 08:41:12,506 INFO    HandlerThread:572977 [system_monitor.py:probe():227] Publishing system info
2026-06-06 08:41:12,507 INFO    HandlerThread:572977 [system_monitor.py:probe():229] Finished publishing system info
2026-06-06 08:41:12,574 DEBUG   HandlerThread:572977 [handler.py:handle_request():158] handle_request: python_packages
2026-06-06 08:41:12,616 DEBUG   HandlerThread:572977 [handler.py:handle_request():158] handle_request: partial_history
2026-06-06 08:41:12,640 DEBUG   HandlerThread:572977 [handler.py:handle_request():158] handle_request: partial_history
2026-06-06 08:41:12,654 DEBUG   SenderThread:572977 [sender.py:send():378] send: exit
